pcha_variant,n_components,cronbach_alpha,risk_qid,n,ols_interaction_beta,ols_interaction_se,ols_interaction_p,permutation_p,within_state_permutation_p,bootstrap_ci_lo,bootstrap_ci_hi,fe_interaction_beta,fe_interaction_p,cr_interaction_beta,cr_interaction_p,adj_r2,fe_adj_r2
strict_preconception,8,,QUO197,188,-0.3870531874581584,0.12380902101166115,0.002058355155890812,0.0894,0.82,-0.6386766928616582,-0.05611973485319861,-0.40409822093862807,0.03435798681657931,-0.40409822093862807,0.07380439229898617,0.42577102349744134,0.7638337783964377
strict_preconception,8,,QUO210,188,-0.39207993361617044,0.1165766905439715,0.0009370830753419046,0.0628,0.8594,-0.6920511423409472,-0.12862989518905837,-0.5001410955697518,0.007848253773282687,-0.5001410955697518,0.050352053030455535,0.4577009303571258,0.7683442346037023
strict_preconception,8,,QUO313,111,-0.09670319927775184,0.12411649517196045,0.4376214468116142,0.7164,,-1.316253534710339,0.12087798718348633,0.14902389397775434,0.6071663440369419,0.14902389397775434,0.6851382087818485,0.5290972852021198,0.8371901238750844
strict_preconception,8,,QUO315,111,-0.056112903382830925,0.12733229122488893,0.6603331045664125,0.8084,,-0.8054294466139624,0.41200909516460255,-0.10952323255932458,0.6754388010640762,-0.10952323255932458,0.6584768395328315,0.5471930446084832,0.8248395940208453
narrow_prepreg_only,5,0.9362979039012915,QUO197,188,-0.3795760879642671,0.1239564656713589,0.002526815478810729,0.1012,0.688,-0.6314993921194723,-0.038521166590585194,-0.34656010171129664,0.050478160206466116,-0.34656010171129664,0.06884321536091109,0.42526326265627146,0.7630914587975208
narrow_prepreg_only,5,0.9362979039012915,QUO210,188,-0.38329083296861466,0.1170812389049545,0.0012679671915054591,0.0722,0.8142,-0.6533534316703989,-0.11140333386235692,-0.40684647182148526,0.017774991064909207,-0.40684647182148526,0.061692366841372026,0.4553187340505981,0.7667141835421284
narrow_prepreg_only,5,0.9362979039012915,QUO313,111,-0.08908039939697798,0.12383274804421289,0.47348698898119324,0.7308,,-1.2905551091483962,0.12870868210771957,0.2340962067224499,0.4025885426396447,0.2340962067224499,0.5156685089483592,0.5234431944058833,0.8346847120601766
narrow_prepreg_only,5,0.9362979039012915,QUO315,111,-0.05004957887127204,0.12581764303867898,0.6915741172936449,0.8288,,-0.8368455239190189,0.44300660708520745,0.03919289373836953,0.8781581243301049,0.03919289373836953,0.8911180258496936,0.5431519075844584,0.8231997193714627
