risk_qid,variable,vif
QUO197,risk_z,2.395823543755742
QUO197,pcha_z,1.9972211880445085
QUO197,risk_x_pcha,1.3520054971966102
QUO210,risk_z,2.6284590151104896
QUO210,pcha_z,2.269202414510601
QUO210,risk_x_pcha,1.3173408816008083
