era,pcha_variant,risk_qid,n,interaction_beta,interaction_p,adj_r2
2004-2008,strict_preconception,QUO197,102,-0.3736053841407796,0.0015980498896437378,0.6011530790840574
2004-2008,strict_preconception,QUO210,102,-0.36879866327744276,0.0009725561954301298,0.6067683798062736
2009-2011,strict_preconception,QUO197,86,-0.7206444506541498,0.0004711249536542006,0.3740247887728647
2009-2011,strict_preconception,QUO210,86,-0.7524597332821282,0.00017544630649179993,0.4116064813069178
