component,actual_eigenvalue,pa_95th_threshold,retain
1,4.409255253945771,1.3896678434543488,True
2,1.3740428674121254,1.2322307896741918,True
3,0.9620581794294851,1.136346356947367,False
4,0.1976434645975509,1.042356893025062,False
5,0.02724156279134765,0.968965620685103,False
6,0.02547624207646838,0.8928343464170843,False
7,0.0042824297472507005,0.8100316674610557,False
