risk_qid,n,counseling_simple_beta,counseling_simple_p,counseling_fe_beta,counseling_fe_p,counseling_interaction_beta,counseling_interaction_p
QUO197,188,0.04107684074856048,0.8508350446856092,-0.9167143745617349,0.01623504164971079,0.4012389150191639,0.01004331011316939
QUO210,188,0.04107684074856048,0.8508350446856092,-0.9167143745617349,0.01623504164971079,0.4482417902354463,0.0019633538244467896
