comparison,r,p,n,pcha_int_beta,pcha_int_p,struct_int_beta,struct_int_p,both_pcha_int_beta,both_pcha_int_p,both_struct_int_beta,both_struct_int_p
pcha_vs_structural_access,0.6055040701047144,1.5644479592442967e-11,102,,,,,,,,
head_to_head_QUO197,,,102,-0.38524341806943285,0.0005429123600146912,-0.17904346408210348,0.03408504063544937,-0.31200336139748985,0.1420220365927607,-0.0330178743022276,0.833976620081222
head_to_head_QUO210,,,102,-0.3690763543871835,0.0005912042953517549,-0.18501235974642008,0.022296722232081567,-0.33653394939415116,0.11684500497019101,-0.005849087508029077,0.9702217444623034
