risk_qid,risk_description,n,risk_only_r2,risk_only_adj_r2,additive_r2,additive_adj_r2,interaction_r2,interaction_adj_r2,interaction_beta,interaction_se,interaction_p_parametric,interaction_p_permutation,interaction_boot_ci_lo,interaction_boot_ci_hi,risk_beta,pcha_beta,interaction_beta_raw,attenuation_signature,predicted_highrisk_benefit_pp,fe_interaction_beta,fe_interaction_se,fe_interaction_p,fe_r2,fe_adj_r2,cr_interaction_beta,cr_interaction_se,cr_interaction_p,wls_interaction_beta,wls_interaction_se,wls_interaction_p,fe_only_r2,fe_only_adj_r2
QUO197,Argued with husband/partner more than usual (12 mo before pregnancy),188,0.37503487168078176,0.37167484410917306,0.4269413803221601,0.4207461520013187,0.4585680033768039,0.44974030777968665,-0.3818555896758359,0.11647582312333746,0.0012482223556218308,0.0914,-0.6501519962872823,-0.042148905684691616,0.8107724271582694,-0.9888655725204892,-0.3818555896758359,True,-2.7414423243926502,-0.4740621436192537,0.1907236639916425,0.014093571058564125,0.8202917588846674,0.7633419641650198,-0.4740621436192537,0.22209816205942778,0.03988475917420109,,,,0.8042877147092806,0.7475986389698999
QUO210,Any partner-related stressors reported,188,0.42302830539120106,0.4199263070330892,0.4492242615400266,0.4432699292323513,0.48044866234393724,0.47197771662128407,-0.37348972906719924,0.1123147846913819,0.0010657960621431872,0.079,-0.6362415275069481,-0.08232227025050519,1.0768383508290027,-0.7526856209027322,-0.37348972906719924,True,-2.252350699939863,-0.5476441210787316,0.18880207345032235,0.004317512453866357,0.8229028942577501,0.7667805720154878,-0.5476441210787316,0.2430950975662951,0.030643957445696035,,,,0.8042877147092806,0.7475986389698999
QUO313,Physical IPV by ex-partner (before pregnancy),111,0.4756697639384462,0.47085939480026684,0.5879481098223831,0.5803175192635384,0.5905227967350277,0.579042127484608,-0.091732084607967,0.11183610304263139,0.4139046470877412,0.7276,-0.9654658830429143,0.14571227577206322,0.9881711177264024,-1.3028110033101337,-0.091732084607967,True,-2.7890861758362013,0.23839114775057285,0.2887200755161006,0.41167444879154136,0.8900810542444801,0.8343687118752441,0.23839114775057285,0.3243844168460959,0.46873398678593126,,,,0.8042877147092806,0.7475986389698999
QUO315,Physical IPV by ex-partner (during pregnancy),111,0.5035375299901352,0.49898282843041175,0.6019849795936107,0.5946143310675664,0.603915920096225,0.5928107589774276,-0.0824799935528322,0.11419996657424096,0.4717213325721863,0.716,-0.6748959826607969,0.36721131205329083,1.1218021180959916,-1.2206731008846723,-0.0824799935528322,True,-2.606306188875009,-0.13955910311603578,0.25652681126933663,0.5880764482429697,0.8830643766457942,0.8237956360416077,-0.13955910311603578,0.22586338155168786,0.5418239663614823,,,,0.8042877147092806,0.7475986389698999
