era,risk_qid,n,interaction_beta,interaction_p,adj_r2
2004-2008,QUO197,102,-0.38524341806943285,0.0005429123600146912,0.6100006275847132
2004-2008,QUO210,102,-0.3690763543871835,0.0005912042953517549,0.6161105294787392
2009-2011,QUO197,86,-0.6154429983912064,0.0014310153037513373,0.38402817997296845
2009-2011,QUO210,86,-0.6450034535231945,0.0007346002705985732,0.41018490521312856
