,outcome_ppd,pcha_index,structural_access_index,counseling_index,QUO197,QUO210
outcome_ppd,1.0,-0.7104709084396491,-0.5955451459050203,0.0514452189205895,0.6864791998394881,0.7138600437884148
pcha_index,-0.7104709084396491,1.0,0.6055040701047145,-0.12801310375362682,-0.7082003508964545,-0.7502332125221729
structural_access_index,-0.5955451459050203,0.6055040701047145,1.0,-0.4267488698613858,-0.4731085291333289,-0.5488984892462798
counseling_index,0.0514452189205895,-0.12801310375362682,-0.4267488698613858,1.0,0.17771913227118785,0.21921176195009537
QUO197,0.6864791998394881,-0.7082003508964545,-0.4731085291333289,0.17771913227118785,1.0,0.9605204238174422
QUO210,0.7138600437884148,-0.7502332125221729,-0.5488984892462798,0.21921176195009537,0.9605204238174422,1.0
